id	filename	md5	size	state
e0e31082-4736-4917-a72b-9bf455239984	42ea4d31-b0a2-4575-9801-8a71f4178a05.wxs.aliquot_ensemble_masked.maf.gz	2aee411259e07853c0b0249771d23dfb	19902	released
3bcd345a-8e0b-446a-98f9-50ea4841c013	6bb44d25-1150-4d1d-b875-a04f0a33e2b5.wxs.aliquot_ensemble_masked.maf.gz	fe1c0b60c4006cc3e7aa46152066f4d2	10248	released
4f1a4339-2767-4dab-9693-0b1e29115b53	b2ea412d-da85-4f8b-a5a0-cdbe1ecc9a48.wxs.aliquot_ensemble_masked.maf.gz	e48424dae6304e591e402fc06c590414	15176	released
9158e0d3-5ae2-40dc-b1ea-32ffee14c11f	ae59831a-983a-4739-8c59-4f35f94bc790.wxs.aliquot_ensemble_masked.maf.gz	8fa7372bb2cad27be24ddb7d2c6dd4ea	7536	released
63c01379-b82b-4e47-b455-4a942ad4a5d9	31ad7f36-a729-4a38-a4db-41de0516ab13.wxs.aliquot_ensemble_masked.maf.gz	c56ad68d80f95d2c6a95f49b25e88476	13691	released
67ada567-fef4-4800-926a-100027c65203	337c9a15-5946-4798-aa96-09832ed9f6fd.wxs.aliquot_ensemble_masked.maf.gz	e131af310a04230c3da6ace4b616b265	22515	released
f12229f5-87cc-40d6-bfdb-5f7be3988c43	71d1df8c-d3ac-43a9-8e30-6fad575667d4.wxs.aliquot_ensemble_masked.maf.gz	bbe6bbfffe614f3be8d200fc9cd58068	25958	released
ea9af407-67b1-4399-9791-c56edc7673bf	79e93bc3-688e-4598-b0cd-eb5aea1f6b32.wxs.aliquot_ensemble_masked.maf.gz	1d28fd3c24d17de79c137532fa19caab	13965	released
a4af9a72-6bbf-48f3-9552-4fda4590fd9e	95916db3-dad7-4d8f-ab68-8342284f765b.wxs.aliquot_ensemble_masked.maf.gz	44a6d26933debc04f8b2779f696617cd	26854	released
e02904b1-f7a0-4ad1-941a-8eb66e0baccc	541eed18-2e1d-4847-b4cb-423cec947acc.wxs.aliquot_ensemble_masked.maf.gz	2107fa50f00c7baddfaaac70e3b72d5b	15756	released
07018a7a-bb7e-4c21-93f3-d256c5461220	bc9aff47-00f1-4a31-b7ed-c52fd96cf040.wxs.aliquot_ensemble_masked.maf.gz	029297c8791883eeeaad02f60fc87a61	12561	released
2222cb0a-59a2-41ac-9ad2-eaa3bf03e7c3	d15a2772-6752-414d-8d5a-89fc36cc21c1.wxs.aliquot_ensemble_masked.maf.gz	7bdeff44fc21bce566bdbceff68c4c8b	9963	released
4a8ec51b-9aee-4355-84a9-362eb3e20bea	03908f13-6c6f-413e-913b-f621e102963a.wxs.aliquot_ensemble_masked.maf.gz	0c5f534874e036c75611cd058bcaa6c3	40896	released
da8d7222-5e31-4a0b-a602-f3a79ce2f824	f8f787be-8204-4614-8437-884773ae759d.wxs.aliquot_ensemble_masked.maf.gz	290cdee8ac6e47c5f62a119a4159e315	14092	released
7eeda8f4-5ae4-48b6-bfb0-7f2b34fc6287	cb78b6ee-e79d-4052-bb38-278bd484af51.wxs.aliquot_ensemble_masked.maf.gz	e8b9f2390df8b1c50f3542b12347e56d	18058	released
6c95dadc-a614-459e-9bf0-eb5dc34179d5	2974528a-0903-47d6-b52e-7ac465878a67.wxs.aliquot_ensemble_masked.maf.gz	038e53bac5ef4bd602715053202823ba	11488	released
b4ae4fb1-56ee-4e68-b754-4e7adf685a81	12a5b48c-5759-40dc-a3c4-3019fa441d3e.wxs.aliquot_ensemble_masked.maf.gz	78f5f3aff0962fb7f1132903f74a0623	11283	released
14181b20-45f0-4ffc-be95-f7498eebfdf0	596c7aaf-4119-4b2f-8207-20531e0db945.wxs.aliquot_ensemble_masked.maf.gz	18b20236b401e1d858b9603775b066b8	13496	released
3c83c895-0aef-4454-befe-2c71213f571a	59996b4a-6bb5-423c-9123-187600babee7.wxs.aliquot_ensemble_masked.maf.gz	17952ef24442237108a56b7819afec51	28580	released
9fecdf08-c622-48d2-85fe-388d530b7820	892b9e2d-39a4-46d8-a799-46f4fa135657.wxs.aliquot_ensemble_masked.maf.gz	fb155f56a37dab60a0ead484f34bcf00	21281	released
626e295c-67c3-420d-adeb-440defe7929d	23501a12-0e0b-49c4-acc3-b242ed8be651.wxs.aliquot_ensemble_masked.maf.gz	9abcd12584da007ec0c1c35a6251b58f	22627	released
205f7120-573f-4dc4-94e2-1fb25302ff30	a878d6a8-d527-4626-9af5-e783f6ce4482.wxs.aliquot_ensemble_masked.maf.gz	d178db86c3fe756a5610f597b4f1d9e0	1789981	released
56d15f8e-3788-4715-9ec8-853a107679a4	217f6db7-f618-46c1-9d61-fed963406e71.wxs.aliquot_ensemble_masked.maf.gz	8a9a8f2a84ba6ffd3e8cfa9d09a978f8	23487	released
