	MC: BLCA	MC: BRCA	MC: CESC	MC: COAD	MC: ESCA	MC: HNSC	MC: KIRC	MC: KIRP	MC: LIHC	MC: LUAD	MC: LUSC	MC: PRAD	MC: READ	MC: STAD	MC: THCA	MC: UCEC	MS: BLCA	MS: BRCA	MS: CESC	MS: COAD	MS: ESCA	MS: HNSC	MS: KIRC	MS: KIRP	MS: LIHC	MS: LUAD	MS: LUSC	MS: PRAD	MS: READ	MS: STAD	MS: THCA	MS: UCEC
DNAJC14	10.0	8.0	9.0	5.0	0.0	9.0	1.0	2.0	2.0	7.0	8.0	0.0	2.0	9.0	0.0	23.0	9.0	8.0	9.0	5.0	0.0	9.0	1.0	2.0	2.0	7.0	8.0	0.0	2.0	9.0	0.0	19.0
DPP4	10.0	9.0	3.0	12.0	2.0	11.0	2.0	1.0	3.0	9.0	19.0	2.0	0.0	6.0	0.0	51.0	9.0	8.0	3.0	12.0	1.0	10.0	2.0	1.0	3.0	9.0	19.0	2.0	0.0	6.0	0.0	38.0
EHBP1L1	10.0	5.0	7.0	9.0	1.0	11.0	2.0	1.0	7.0	4.0	11.0	1.0	1.0	15.0	0.0	37.0	9.0	3.0	6.0	9.0	1.0	6.0	2.0	1.0	7.0	4.0	9.0	1.0	1.0	14.0	0.0	30.0
EIF4A3	10.0	6.0	2.0	3.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	12.0	9.0	6.0	2.0	3.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	11.0
ELAPOR1	10.0	4.0	4.0	12.0	0.0	2.0	1.0	1.0	1.0	10.0	3.0	3.0	3.0	4.0	0.0	28.0	9.0	3.0	4.0	12.0	0.0	2.0	1.0	1.0	1.0	8.0	3.0	2.0	2.0	4.0	0.0	22.0
EPHA8	10.0	2.0	4.0	10.0	3.0	7.0	3.0	2.0	6.0	17.0	13.0	1.0	2.0	16.0	0.0	47.0	9.0	2.0	4.0	10.0	3.0	7.0	2.0	2.0	5.0	16.0	13.0	1.0	2.0	13.0	0.0	36.0
EPHB3	10.0	10.0	7.0	10.0	1.0	8.0	1.0	1.0	9.0	14.0	13.0	3.0	2.0	14.0	0.0	36.0	9.0	9.0	6.0	10.0	1.0	8.0	1.0	1.0	9.0	13.0	13.0	3.0	2.0	13.0	0.0	31.0
EVPL	10.0	13.0	4.0	17.0	0.0	12.0	2.0	3.0	7.0	13.0	13.0	5.0	3.0	24.0	3.0	63.0	9.0	12.0	4.0	16.0	0.0	11.0	2.0	3.0	7.0	12.0	13.0	2.0	3.0	21.0	3.0	44.0
FAM47B	10.0	9.0	8.0	23.0	0.0	13.0	1.0	1.0	3.0	53.0	15.0	6.0	5.0	14.0	0.0	69.0	9.0	9.0	8.0	22.0	0.0	13.0	1.0	1.0	3.0	48.0	14.0	6.0	5.0	11.0	0.0	52.0
FGFR2	10.0	14.0	4.0	17.0	0.0	3.0	1.0	0.0	4.0	10.0	13.0	3.0	8.0	15.0	1.0	96.0	9.0	13.0	4.0	15.0	0.0	3.0	1.0	0.0	4.0	10.0	13.0	3.0	4.0	15.0	1.0	76.0
FOXP2	10.0	4.0	1.0	15.0	1.0	4.0	1.0	2.0	2.0	21.0	12.0	2.0	9.0	20.0	0.0	41.0	9.0	4.0	1.0	13.0	1.0	3.0	1.0	2.0	2.0	21.0	12.0	2.0	6.0	19.0	0.0	30.0
FTSJ3	10.0	8.0	2.0	13.0	1.0	4.0	2.0	0.0	1.0	6.0	9.0	1.0	2.0	16.0	0.0	33.0	9.0	8.0	2.0	13.0	1.0	4.0	2.0	0.0	1.0	6.0	9.0	1.0	2.0	16.0	0.0	27.0
GANAB	10.0	8.0	11.0	17.0	1.0	4.0	1.0	0.0	1.0	10.0	7.0	3.0	2.0	12.0	0.0	47.0	9.0	8.0	10.0	16.0	1.0	4.0	1.0	0.0	1.0	10.0	7.0	2.0	2.0	12.0	0.0	37.0
GIGYF2	10.0	6.0	4.0	21.0	2.0	13.0	4.0	4.0	5.0	6.0	14.0	3.0	7.0	14.0	0.0	80.0	9.0	6.0	4.0	17.0	2.0	13.0	4.0	4.0	5.0	6.0	12.0	3.0	6.0	14.0	0.0	53.0
GLUD2	10.0	4.0	2.0	21.0	3.0	10.0	1.0	0.0	5.0	13.0	12.0	2.0	4.0	12.0	0.0	49.0	9.0	4.0	2.0	21.0	3.0	10.0	1.0	0.0	5.0	11.0	12.0	2.0	4.0	12.0	0.0	34.0
GPNMB	10.0	6.0	3.0	10.0	0.0	3.0	4.0	3.0	0.0	9.0	8.0	1.0	1.0	7.0	1.0	17.0	9.0	6.0	3.0	8.0	0.0	3.0	4.0	3.0	0.0	9.0	7.0	1.0	1.0	7.0	1.0	14.0
HNRNPA2B1	10.0	7.0	0.0	6.0	1.0	5.0	1.0	1.0	4.0	9.0	4.0	0.0	0.0	8.0	0.0	17.0	9.0	6.0	0.0	6.0	1.0	5.0	1.0	1.0	4.0	9.0	4.0	0.0	0.0	7.0	0.0	16.0
HSP90AB1	10.0	6.0	4.0	6.0	2.0	8.0	3.0	0.0	3.0	8.0	5.0	1.0	3.0	10.0	0.0	49.0	9.0	6.0	4.0	6.0	2.0	7.0	3.0	0.0	3.0	8.0	5.0	1.0	2.0	10.0	0.0	37.0
IARS2	10.0	6.0	2.0	18.0	0.0	2.0	1.0	3.0	2.0	15.0	6.0	1.0	4.0	15.0	0.0	55.0	9.0	5.0	2.0	16.0	0.0	2.0	1.0	3.0	2.0	14.0	6.0	1.0	3.0	12.0	0.0	41.0
IPO9	10.0	4.0	7.0	13.0	0.0	4.0	1.0	2.0	1.0	9.0	7.0	1.0	1.0	12.0	1.0	44.0	9.0	4.0	7.0	12.0	0.0	4.0	1.0	2.0	1.0	7.0	7.0	1.0	1.0	11.0	1.0	40.0
IQCB1	10.0	6.0	4.0	7.0	1.0	4.0	0.0	1.0	2.0	4.0	4.0	0.0	4.0	1.0	0.0	20.0	9.0	6.0	3.0	6.0	1.0	4.0	0.0	1.0	2.0	4.0	4.0	0.0	4.0	1.0	0.0	18.0
IQCH	10.0	6.0	6.0	12.0	0.0	9.0	0.0	0.0	0.0	4.0	9.0	2.0	8.0	10.0	0.0	50.0	9.0	6.0	6.0	11.0	0.0	9.0	0.0	0.0	0.0	4.0	7.0	1.0	7.0	10.0	0.0	36.0
IQGAP2	10.0	8.0	6.0	20.0	2.0	7.0	3.0	2.0	5.0	31.0	14.0	3.0	10.0	14.0	0.0	77.0	9.0	6.0	5.0	17.0	2.0	7.0	3.0	2.0	5.0	29.0	14.0	2.0	5.0	11.0	0.0	43.0
IRX5	10.0	0.0	4.0	11.0	4.0	4.0	1.0	1.0	1.0	4.0	4.0	0.0	0.0	10.0	0.0	23.0	9.0	0.0	4.0	10.0	4.0	4.0	1.0	1.0	1.0	4.0	4.0	0.0	0.0	10.0	0.0	19.0
ITIH2	10.0	2.0	10.0	24.0	2.0	4.0	3.0	0.0	3.0	24.0	18.0	4.0	5.0	9.0	0.0	75.0	9.0	2.0	8.0	22.0	2.0	4.0	3.0	0.0	3.0	22.0	18.0	4.0	4.0	7.0	0.0	45.0
JAK3	10.0	11.0	6.0	14.0	3.0	5.0	1.0	1.0	5.0	9.0	9.0	1.0	2.0	13.0	0.0	35.0	9.0	11.0	6.0	12.0	3.0	5.0	1.0	1.0	5.0	9.0	9.0	1.0	2.0	12.0	0.0	31.0
KATNA1	10.0	3.0	3.0	4.0	0.0	3.0	1.0	2.0	2.0	4.0	2.0	0.0	1.0	8.0	1.0	23.0	9.0	3.0	2.0	4.0	0.0	3.0	1.0	2.0	2.0	4.0	2.0	0.0	1.0	8.0	1.0	20.0
KHDRBS1	10.0	2.0	1.0	7.0	0.0	2.0	1.0	1.0	0.0	4.0	4.0	0.0	1.0	3.0	0.0	11.0	9.0	2.0	1.0	6.0	0.0	2.0	1.0	1.0	0.0	4.0	4.0	0.0	1.0	3.0	0.0	10.0
LRRC31	10.0	6.0	5.0	13.0	1.0	4.0	0.0	0.0	1.0	4.0	7.0	0.0	7.0	5.0	0.0	23.0	9.0	6.0	4.0	12.0	1.0	4.0	0.0	0.0	1.0	4.0	7.0	0.0	4.0	5.0	0.0	21.0
MAP3K13	10.0	13.0	6.0	19.0	1.0	9.0	1.0	0.0	1.0	11.0	10.0	3.0	3.0	13.0	0.0	58.0	9.0	13.0	6.0	18.0	1.0	9.0	1.0	0.0	1.0	11.0	9.0	3.0	2.0	13.0	0.0	38.0
MATR3	10.0	1.0	3.0	13.0	1.0	4.0	0.0	1.0	1.0	6.0	3.0	0.0	2.0	9.0	0.0	31.0	9.0	1.0	3.0	11.0	1.0	4.0	0.0	1.0	1.0	6.0	3.0	0.0	2.0	9.0	0.0	24.0
MBD1	10.0	4.0	4.0	17.0	1.0	4.0	0.0	1.0	3.0	11.0	12.0	3.0	1.0	12.0	1.0	53.0	9.0	4.0	2.0	14.0	1.0	4.0	0.0	1.0	3.0	11.0	11.0	3.0	1.0	12.0	1.0	36.0
MCM10	10.0	7.0	4.0	15.0	0.0	2.0	2.0	1.0	6.0	12.0	10.0	0.0	3.0	7.0	0.0	29.0	9.0	7.0	4.0	13.0	0.0	2.0	2.0	1.0	5.0	11.0	10.0	0.0	3.0	7.0	0.0	22.0
MEI1	10.0	7.0	6.0	24.0	3.0	6.0	1.0	2.0	4.0	11.0	10.0	0.0	2.0	10.0	1.0	40.0	9.0	7.0	6.0	19.0	3.0	6.0	1.0	2.0	4.0	11.0	9.0	0.0	2.0	10.0	1.0	30.0
MTUS1	10.0	2.0	0.0	16.0	1.0	7.0	5.0	4.0	0.0	10.0	7.0	2.0	5.0	17.0	0.0	43.0	9.0	2.0	0.0	13.0	1.0	7.0	5.0	4.0	0.0	10.0	7.0	2.0	3.0	17.0	0.0	33.0
NEBL	10.0	7.0	1.0	6.0	1.0	8.0	3.0	0.0	6.0	18.0	15.0	4.0	7.0	20.0	0.0	75.0	9.0	7.0	1.0	6.0	1.0	8.0	3.0	0.0	5.0	17.0	15.0	3.0	5.0	18.0	0.0	45.0
NEURL4	10.0	6.0	9.0	25.0	1.0	5.0	3.0	2.0	2.0	9.0	9.0	4.0	2.0	13.0	0.0	78.0	9.0	6.0	7.0	19.0	1.0	5.0	3.0	2.0	2.0	8.0	8.0	4.0	2.0	12.0	0.0	51.0
NFATC3	10.0	7.0	6.0	15.0	1.0	5.0	4.0	2.0	1.0	14.0	5.0	1.0	0.0	5.0	0.0	33.0	9.0	6.0	4.0	13.0	1.0	5.0	4.0	2.0	1.0	13.0	5.0	1.0	0.0	5.0	0.0	28.0
NR1D2	10.0	3.0	3.0	10.0	2.0	3.0	1.0	1.0	3.0	1.0	1.0	2.0	3.0	8.0	0.0	22.0	9.0	3.0	2.0	9.0	2.0	3.0	1.0	1.0	3.0	1.0	1.0	2.0	2.0	8.0	0.0	18.0
NSUN2	10.0	3.0	4.0	13.0	0.0	5.0	2.0	3.0	0.0	13.0	8.0	0.0	3.0	11.0	0.0	40.0	9.0	3.0	3.0	12.0	0.0	5.0	2.0	3.0	0.0	11.0	8.0	0.0	3.0	10.0	0.0	34.0
OR4K5	10.0	5.0	1.0	13.0	2.0	7.0	1.0	0.0	0.0	16.0	21.0	0.0	2.0	12.0	1.0	28.0	9.0	5.0	1.0	11.0	1.0	7.0	1.0	0.0	0.0	14.0	21.0	0.0	2.0	11.0	1.0	22.0
PABPC4	10.0	6.0	1.0	13.0	2.0	6.0	0.0	3.0	0.0	3.0	7.0	0.0	2.0	8.0	0.0	20.0	9.0	6.0	1.0	13.0	2.0	6.0	0.0	3.0	0.0	3.0	6.0	0.0	2.0	8.0	0.0	17.0
PCDHGA1	10.0	13.0	6.0	24.0	2.0	12.0	4.0	1.0	5.0	26.0	17.0	5.0	3.0	19.0	1.0	63.0	9.0	11.0	6.0	19.0	2.0	11.0	4.0	1.0	5.0	24.0	17.0	2.0	2.0	17.0	1.0	41.0
PGBD1	10.0	3.0	6.0	7.0	2.0	8.0	2.0	1.0	2.0	16.0	6.0	2.0	3.0	18.0	0.0	62.0	9.0	3.0	6.0	7.0	2.0	8.0	2.0	1.0	2.0	16.0	6.0	2.0	3.0	16.0	0.0	42.0
PI4KA	10.0	13.0	7.0	20.0	4.0	6.0	6.0	2.0	6.0	15.0	15.0	4.0	10.0	21.0	0.0	82.0	9.0	10.0	7.0	17.0	4.0	6.0	6.0	2.0	6.0	15.0	14.0	4.0	10.0	19.0	0.0	53.0
PIK3C2G	10.0	8.0	6.0	30.0	2.0	9.0	1.0	3.0	7.0	19.0	17.0	0.0	5.0	14.0	1.0	65.0	9.0	8.0	5.0	25.0	2.0	9.0	1.0	3.0	7.0	19.0	17.0	0.0	4.0	14.0	1.0	34.0
PIK3CG	10.0	5.0	5.0	26.0	2.0	17.0	2.0	1.0	2.0	34.0	43.0	3.0	7.0	27.0	1.0	83.0	9.0	5.0	3.0	22.0	2.0	16.0	2.0	1.0	2.0	32.0	38.0	3.0	6.0	25.0	1.0	51.0
PKD1	10.0	9.0	20.0	44.0	6.0	17.0	3.0	2.0	7.0	27.0	18.0	6.0	3.0	36.0	0.0	116.0	9.0	9.0	16.0	32.0	6.0	15.0	3.0	2.0	7.0	22.0	18.0	6.0	3.0	30.0	0.0	60.0
PNPLA7	10.0	4.0	4.0	14.0	2.0	4.0	1.0	1.0	2.0	8.0	8.0	3.0	3.0	27.0	0.0	68.0	9.0	4.0	4.0	13.0	2.0	3.0	1.0	1.0	2.0	8.0	8.0	3.0	2.0	21.0	0.0	41.0
PPIP5K2	10.0	11.0	6.0	11.0	1.0	9.0	2.0	3.0	4.0	10.0	13.0	5.0	3.0	11.0	0.0	49.0	9.0	10.0	6.0	10.0	1.0	9.0	2.0	3.0	4.0	10.0	12.0	2.0	3.0	11.0	0.0	35.0
PRKD1	10.0	8.0	5.0	25.0	5.0	15.0	3.0	0.0	1.0	28.0	19.0	2.0	8.0	17.0	3.0	37.0	9.0	8.0	5.0	22.0	5.0	15.0	3.0	0.0	1.0	25.0	19.0	2.0	6.0	14.0	3.0	32.0
PROX1	10.0	11.0	7.0	14.0	9.0	13.0	3.0	2.0	2.0	19.0	19.0	4.0	3.0	19.0	0.0	43.0	9.0	11.0	5.0	13.0	9.0	12.0	3.0	2.0	2.0	19.0	18.0	3.0	3.0	18.0	0.0	35.0
PRTG	10.0	12.0	6.0	22.0	3.0	11.0	4.0	1.0	6.0	11.0	18.0	0.0	9.0	25.0	1.0	77.0	9.0	11.0	6.0	20.0	3.0	11.0	4.0	1.0	6.0	11.0	17.0	0.0	7.0	19.0	1.0	51.0
PSD2	10.0	7.0	3.0	19.0	2.0	1.0	2.0	1.0	7.0	11.0	7.0	2.0	6.0	16.0	0.0	41.0	9.0	7.0	3.0	18.0	2.0	1.0	2.0	1.0	7.0	10.0	7.0	2.0	6.0	14.0	0.0	35.0
RBL2	10.0	2.0	4.0	15.0	3.0	5.0	1.0	2.0	9.0	7.0	12.0	2.0	3.0	6.0	0.0	61.0	9.0	2.0	4.0	15.0	3.0	5.0	1.0	2.0	9.0	7.0	11.0	2.0	2.0	6.0	0.0	41.0
RPGRIP1	10.0	8.0	14.0	20.0	1.0	9.0	3.0	0.0	4.0	14.0	7.0	0.0	10.0	13.0	0.0	60.0	9.0	8.0	8.0	14.0	1.0	9.0	3.0	0.0	3.0	14.0	7.0	0.0	5.0	12.0	0.0	34.0
SEMA3A	10.0	7.0	7.0	17.0	5.0	12.0	2.0	1.0	9.0	32.0	13.0	1.0	8.0	18.0	1.0	36.0	9.0	7.0	7.0	14.0	5.0	12.0	2.0	1.0	8.0	31.0	12.0	1.0	5.0	17.0	1.0	28.0
SLX4IP	10.0	0.0	0.0	7.0	1.0	2.0	2.0	0.0	0.0	5.0	6.0	0.0	1.0	3.0	0.0	16.0	9.0	0.0	0.0	6.0	1.0	2.0	2.0	0.0	0.0	5.0	6.0	0.0	1.0	3.0	0.0	13.0
SMC6	10.0	9.0	14.0	6.0	1.0	2.0	0.0	6.0	2.0	7.0	14.0	2.0	3.0	25.0	0.0	72.0	9.0	7.0	11.0	6.0	1.0	2.0	0.0	6.0	2.0	7.0	14.0	2.0	3.0	22.0	0.0	57.0
SPECC1	10.0	6.0	1.0	26.0	2.0	7.0	2.0	0.0	7.0	8.0	3.0	1.0	5.0	37.0	1.0	66.0	9.0	6.0	1.0	24.0	2.0	7.0	2.0	0.0	7.0	8.0	3.0	1.0	4.0	34.0	1.0	55.0
SPINK5	10.0	9.0	6.0	22.0	0.0	3.0	5.0	3.0	5.0	8.0	6.0	1.0	6.0	18.0	1.0	69.0	9.0	8.0	4.0	17.0	0.0	3.0	4.0	3.0	5.0	8.0	5.0	1.0	4.0	16.0	1.0	42.0
TEK	10.0	12.0	6.0	21.0	6.0	3.0	2.0	1.0	4.0	6.0	11.0	1.0	5.0	20.0	1.0	56.0	9.0	9.0	6.0	18.0	4.0	3.0	2.0	1.0	4.0	6.0	9.0	1.0	4.0	19.0	1.0	39.0
TET3	10.0	10.0	9.0	34.0	3.0	7.0	2.0	0.0	3.0	13.0	14.0	4.0	3.0	21.0	0.0	58.0	9.0	10.0	7.0	27.0	3.0	7.0	2.0	0.0	3.0	13.0	14.0	4.0	3.0	19.0	0.0	45.0
TIMELESS	10.0	7.0	5.0	18.0	2.0	7.0	1.0	3.0	4.0	10.0	11.0	3.0	1.0	13.0	1.0	43.0	9.0	6.0	5.0	18.0	2.0	6.0	1.0	3.0	4.0	10.0	11.0	3.0	1.0	11.0	1.0	32.0
TLL1	10.0	9.0	4.0	25.0	5.0	8.0	1.0	0.0	9.0	41.0	14.0	2.0	6.0	26.0	0.0	85.0	9.0	9.0	3.0	21.0	5.0	8.0	1.0	0.0	9.0	37.0	13.0	2.0	5.0	24.0	0.0	46.0
TLL2	10.0	6.0	6.0	14.0	2.0	6.0	1.0	1.0	4.0	25.0	15.0	2.0	2.0	3.0	1.0	36.0	9.0	5.0	6.0	12.0	2.0	6.0	1.0	1.0	4.0	23.0	14.0	2.0	2.0	3.0	1.0	27.0
TLR5	10.0	5.0	2.0	9.0	0.0	3.0	0.0	3.0	1.0	6.0	7.0	1.0	6.0	11.0	0.0	44.0	9.0	5.0	1.0	9.0	0.0	3.0	0.0	3.0	1.0	6.0	7.0	1.0	4.0	11.0	0.0	35.0
TRIM37	10.0	5.0	4.0	19.0	0.0	3.0	2.0	1.0	3.0	8.0	10.0	3.0	3.0	14.0	0.0	41.0	9.0	5.0	4.0	16.0	0.0	3.0	2.0	1.0	3.0	8.0	10.0	3.0	3.0	14.0	0.0	31.0
TRIP11	10.0	12.0	9.0	28.0	6.0	20.0	4.0	3.0	5.0	10.0	14.0	5.0	11.0	15.0	2.0	86.0	9.0	12.0	8.0	20.0	6.0	15.0	4.0	3.0	5.0	10.0	14.0	2.0	9.0	15.0	2.0	46.0
TTC17	10.0	6.0	10.0	17.0	1.0	10.0	2.0	4.0	3.0	15.0	17.0	3.0	2.0	10.0	0.0	45.0	9.0	6.0	6.0	13.0	1.0	10.0	2.0	4.0	3.0	15.0	16.0	3.0	2.0	10.0	0.0	35.0
TUBGCP6	10.0	9.0	8.0	16.0	2.0	8.0	4.0	2.0	4.0	9.0	9.0	1.0	2.0	25.0	0.0	72.0	9.0	9.0	8.0	14.0	2.0	8.0	4.0	2.0	4.0	9.0	9.0	1.0	2.0	24.0	0.0	46.0
UBTF	10.0	8.0	4.0	9.0	3.0	6.0	2.0	3.0	1.0	4.0	7.0	3.0	1.0	9.0	0.0	27.0	9.0	8.0	3.0	8.0	3.0	5.0	2.0	3.0	1.0	4.0	6.0	3.0	1.0	7.0	0.0	22.0
USP9Y	10.0	0.0	0.0	11.0	2.0	2.0	1.0	0.0	5.0	5.0	5.0	1.0	5.0	10.0	1.0	0.0	9.0	0.0	0.0	8.0	2.0	2.0	1.0	0.0	4.0	5.0	5.0	1.0	3.0	9.0	1.0	0.0
VWCE	10.0	6.0	6.0	11.0	2.0	4.0	1.0	2.0	2.0	12.0	13.0	0.0	0.0	8.0	0.0	32.0	9.0	6.0	6.0	11.0	2.0	4.0	1.0	2.0	2.0	10.0	12.0	0.0	0.0	7.0	0.0	23.0
XPO5	10.0	8.0	1.0	14.0	2.0	3.0	1.0	2.0	5.0	6.0	4.0	2.0	1.0	5.0	0.0	40.0	9.0	8.0	1.0	12.0	2.0	3.0	1.0	2.0	5.0	6.0	4.0	2.0	1.0	5.0	0.0	28.0
XPOT	10.0	11.0	3.0	11.0	3.0	6.0	4.0	1.0	4.0	7.0	9.0	2.0	1.0	27.0	1.0	56.0	9.0	11.0	3.0	9.0	3.0	6.0	4.0	1.0	4.0	7.0	8.0	2.0	1.0	25.0	1.0	47.0
YTHDF2	10.0	0.0	3.0	15.0	2.0	3.0	2.0	0.0	0.0	5.0	3.0	2.0	3.0	12.0	0.0	23.0	9.0	0.0	3.0	11.0	2.0	2.0	2.0	0.0	0.0	5.0	3.0	2.0	3.0	12.0	0.0	18.0
ZMYM3	10.0	14.0	8.0	16.0	4.0	12.0	3.0	2.0	1.0	18.0	12.0	12.0	2.0	11.0	0.0	84.0	9.0	14.0	7.0	16.0	4.0	11.0	3.0	2.0	1.0	18.0	12.0	11.0	2.0	11.0	0.0	59.0
ZNF254	10.0	4.0	6.0	8.0	4.0	9.0	0.0	2.0	1.0	9.0	21.0	0.0	5.0	5.0	2.0	45.0	9.0	3.0	5.0	7.0	4.0	9.0	0.0	2.0	1.0	9.0	20.0	0.0	4.0	5.0	2.0	26.0
ZNF479	10.0	4.0	6.0	19.0	5.0	17.0	4.0	2.0	6.0	38.0	41.0	1.0	9.0	17.0	0.0	65.0	9.0	4.0	6.0	14.0	5.0	16.0	4.0	2.0	5.0	34.0	38.0	1.0	5.0	15.0	0.0	39.0
ZNF560	10.0	9.0	3.0	16.0	1.0	5.0	1.0	0.0	3.0	16.0	20.0	2.0	9.0	9.0	1.0	73.0	9.0	8.0	3.0	11.0	1.0	5.0	1.0	0.0	3.0	16.0	20.0	1.0	5.0	8.0	1.0	39.0
ZNF623	10.0	8.0	2.0	10.0	1.0	6.0	4.0	0.0	0.0	10.0	2.0	1.0	2.0	4.0	1.0	30.0	9.0	7.0	2.0	8.0	1.0	5.0	4.0	0.0	0.0	10.0	2.0	1.0	2.0	4.0	1.0	23.0
ABCA5	9.0	11.0	7.0	32.0	1.0	4.0	2.0	4.0	2.0	22.0	14.0	2.0	12.0	23.0	2.0	91.0	9.0	9.0	7.0	21.0	1.0	4.0	2.0	4.0	2.0	22.0	13.0	2.0	5.0	19.0	2.0	50.0
ABCD2	9.0	4.0	1.0	16.0	4.0	5.0	1.0	0.0	2.0	15.0	26.0	1.0	5.0	7.0	0.0	39.0	9.0	4.0	1.0	12.0	4.0	5.0	1.0	0.0	2.0	15.0	25.0	1.0	5.0	7.0	0.0	30.0
ACE	9.0	10.0	5.0	22.0	3.0	7.0	2.0	5.0	3.0	14.0	9.0	2.0	3.0	7.0	0.0	51.0	9.0	10.0	5.0	18.0	3.0	7.0	2.0	5.0	3.0	13.0	8.0	2.0	3.0	7.0	0.0	37.0
ADAM22	9.0	0.0	3.0	10.0	4.0	8.0	1.0	0.0	2.0	15.0	25.0	1.0	4.0	16.0	0.0	53.0	9.0	0.0	2.0	10.0	4.0	8.0	1.0	0.0	2.0	15.0	25.0	1.0	2.0	14.0	0.0	42.0
ADAMTS14	9.0	7.0	4.0	15.0	3.0	10.0	5.0	3.0	5.0	22.0	6.0	2.0	7.0	22.0	0.0	51.0	9.0	7.0	4.0	12.0	3.0	9.0	5.0	3.0	5.0	21.0	5.0	2.0	6.0	20.0	0.0	32.0
ADAMTS6	9.0	4.0	6.0	18.0	2.0	6.0	3.0	3.0	2.0	22.0	17.0	2.0	5.0	11.0	1.0	40.0	9.0	3.0	5.0	13.0	2.0	6.0	3.0	3.0	2.0	19.0	16.0	2.0	4.0	10.0	1.0	30.0
ADGRA3	9.0	11.0	8.0	16.0	1.0	8.0	1.0	1.0	2.0	21.0	15.0	4.0	8.0	8.0	0.0	68.0	9.0	11.0	7.0	15.0	1.0	7.0	1.0	1.0	1.0	20.0	15.0	4.0	6.0	8.0	0.0	44.0
AFTPH	9.0	7.0	3.0	9.0	1.0	5.0	4.0	0.0	4.0	4.0	4.0	0.0	4.0	15.0	1.0	34.0	9.0	7.0	3.0	8.0	1.0	5.0	4.0	0.0	4.0	4.0	4.0	0.0	3.0	12.0	1.0	23.0
AKAP12	9.0	13.0	9.0	43.0	1.0	13.0	2.0	3.0	2.0	10.0	9.0	3.0	10.0	24.0	1.0	63.0	9.0	12.0	9.0	36.0	1.0	12.0	2.0	3.0	2.0	10.0	9.0	3.0	6.0	21.0	1.0	46.0
AMPD1	9.0	8.0	6.0	17.0	2.0	6.0	2.0	0.0	4.0	17.0	7.0	4.0	8.0	12.0	0.0	55.0	9.0	8.0	6.0	14.0	2.0	5.0	2.0	0.0	4.0	16.0	7.0	3.0	6.0	11.0	0.0	35.0
ANKRD52	9.0	3.0	1.0	16.0	0.0	6.0	2.0	1.0	2.0	3.0	5.0	4.0	2.0	11.0	0.0	41.0	9.0	3.0	1.0	14.0	0.0	6.0	2.0	1.0	2.0	3.0	5.0	3.0	2.0	11.0	0.0	28.0
AOAH	9.0	2.0	5.0	5.0	0.0	4.0	0.0	0.0	3.0	16.0	10.0	0.0	0.0	5.0	0.0	18.0	9.0	2.0	5.0	5.0	0.0	4.0	0.0	0.0	3.0	16.0	10.0	0.0	0.0	5.0	0.0	15.0
AP3B2	9.0	3.0	1.0	13.0	3.0	6.0	1.0	0.0	4.0	10.0	12.0	4.0	2.0	16.0	0.0	39.0	9.0	3.0	1.0	13.0	3.0	6.0	1.0	0.0	4.0	10.0	12.0	4.0	2.0	16.0	0.0	27.0
APBA2	9.0	10.0	7.0	23.0	0.0	7.0	2.0	2.0	5.0	14.0	25.0	1.0	3.0	19.0	0.0	33.0	9.0	10.0	7.0	21.0	0.0	6.0	2.0	2.0	5.0	13.0	24.0	1.0	3.0	17.0	0.0	27.0
APLP1	9.0	6.0	5.0	21.0	2.0	7.0	1.0	1.0	0.0	4.0	8.0	4.0	2.0	11.0	0.0	42.0	9.0	5.0	5.0	20.0	2.0	7.0	1.0	1.0	0.0	4.0	8.0	3.0	2.0	11.0	0.0	35.0
AREL1	9.0	3.0	4.0	5.0	0.0	4.0	2.0	0.0	3.0	8.0	4.0	2.0	1.0	9.0	0.0	36.0	9.0	3.0	4.0	5.0	0.0	4.0	2.0	0.0	3.0	8.0	4.0	1.0	1.0	9.0	0.0	28.0
ARPP21	9.0	7.0	8.0	22.0	3.0	11.0	1.0	0.0	2.0	32.0	18.0	3.0	7.0	21.0	0.0	58.0	9.0	7.0	8.0	17.0	3.0	11.0	1.0	0.0	2.0	28.0	16.0	3.0	7.0	19.0	0.0	38.0
ATP13A4	9.0	10.0	10.0	12.0	1.0	20.0	4.0	2.0	6.0	16.0	15.0	1.0	3.0	10.0	0.0	44.0	9.0	10.0	10.0	9.0	1.0	20.0	4.0	2.0	5.0	14.0	14.0	1.0	3.0	9.0	0.0	33.0
ATP1A2	9.0	5.0	4.0	23.0	6.0	8.0	6.0	3.0	5.0	19.0	20.0	0.0	3.0	14.0	2.0	61.0	9.0	5.0	3.0	21.0	6.0	7.0	6.0	3.0	5.0	19.0	20.0	0.0	1.0	14.0	2.0	41.0
ATP7B	9.0	7.0	4.0	14.0	2.0	8.0	4.0	5.0	1.0	21.0	6.0	1.0	3.0	18.0	1.0	50.0	9.0	7.0	4.0	12.0	2.0	8.0	4.0	5.0	1.0	20.0	6.0	1.0	2.0	15.0	1.0	34.0
